city,grnd_level,humidity,pressure,sea_level,temp,temp_max,temp_min,deg,gust,speed,lat,lng
saint-paul-les-dax,,56,1021.0,,20.29,21.11,19.44,,,1.5,43.88727350555948,-1.1484658823014513
dunedin,,62,1010.0,,12.78,12.78,12.78,70.0,2.24,1.34,-53.399913875899685,176.49263902628388
bethel,,93,1026.0,,2.02,3.0,1.0,130.0,,3.6,51.928679438692285,-166.86011970324225
cayenne,,62,1012.0,,32.0,32.0,32.0,88.466,,4.18,17.208132749822937,-43.52692733613864
punta arenas,,93,991.0,,1.89,2.0,1.67,260.0,,12.9,-67.15270254735606,-109.46399521460913
esperance,,87,1029.0,,9.0,9.0,9.0,70.0,,3.6,-34.45433489298342,123.2227036938142
itoman,,74,1016.0,,23.88,26.0,22.0,20.0,,4.1,21.795501781807616,128.6378016763905
port alfred,,95,1013.0,,17.22,17.22,17.22,264.0,7.6,3.58,-87.74072297185383,41.78842715505314
jamestown,984.49,95,1021.62,1021.62,6.65,6.65,6.65,241.94,,4.44,-36.20411491825682,-11.789214508525987
graaff-reinet,936.57,29,1013.3,1013.3,22.45,22.45,22.45,218.712,,5.62,-32.262320152512544,24.008777855013932
cape town,,60,1016.0,,19.73,21.11,18.33,290.0,,7.7,-43.23805625866707,8.246862228760364
maceio,,55,1016.0,,30.0,30.0,30.0,70.0,,6.7,-13.777608945009788,-30.734950975842565
hithadhoo,1011.21,77,1011.38,1011.38,28.05,28.05,28.05,109.72,,6.78,-4.953105322887112,73.69580771710434
rikitea,1013.81,88,1013.76,1013.76,22.55,22.55,22.55,358.148,,6.72,-83.81126294169127,-129.05333475181646
port elizabeth,,60,1022.0,,24.02,26.11,21.67,,,3.1,-89.10848018690577,39.50901043296466
acapulco,,83,1010.0,,27.0,27.0,27.0,360.0,,2.1,9.388917951793871,-102.37344285706115
korsor,,56,1019.0,,8.1,8.89,7.0,320.0,,4.1,55.314808609767255,11.039203406223095
tigil,1004.03,82,1011.68,1011.68,-0.16,-0.16,-0.16,253.955,,6.47,58.97603306391164,156.19547374496386
kentau,959.66,36,1013.53,1013.53,18.95,18.95,18.95,7.327,,5.36,44.07388433973034,68.5174069455727
pasighat,927.61,92,1016.58,1016.58,20.75,20.75,20.75,358.932,,0.91,27.854716600777266,95.34868458812343
saldanha,956.75,20,1018.55,1018.55,26.85,26.85,26.85,270.676,,1.02,-36.77967519922015,4.814973916691031
karratha,1002.24,42,1012.81,1012.81,24.95,24.95,24.95,214.816,,3.88,-19.130613830089885,111.83276102835976
hasaki,,100,1017.0,,18.54,19.0,18.0,10.0,,4.6,26.33400326956628,156.08872645404153
vung tau,1010.0,83,1011.2,1011.2,26.95,26.95,26.95,93.18,,5.19,9.07947155389553,107.35088012975098
mataura,,70,1008.0,,13.33,13.33,13.33,318.0,6.26,4.02,-70.89467167075651,-154.41975955216805
garmsar,841.44,23,1014.7,1014.7,15.95,15.95,15.95,9.386,,1.74,34.982479351658,52.29858111970478
kodiak,,76,1026.0,,11.74,12.78,10.0,300.0,,1.5,52.04104881466964,-151.1559093214923
vaini,,88,1015.0,,23.0,23.0,23.0,270.0,,3.1,-28.41218312102327,-177.95083423554817
bilibino,925.68,95,1012.85,1012.85,-13.16,-13.16,-13.16,46.509,,1.91,66.71303402499098,166.42865128203493
santa cruz del sur,1006.59,82,1012.56,1012.56,28.75,28.75,28.75,157.622,,6.26,20.233642046846384,-78.33696687374687
qaanaaq,964.8,83,1002.77,1002.77,-6.76,-6.76,-6.76,88.466,,4.18,73.27614822771523,-77.56267780158751
barrow,1001.18,35,1012.34,1012.34,17.85,17.85,17.85,244.227,,7.79,79.9702337574804,-157.00482054336888
muisne,,88,1013.0,,25.0,25.0,25.0,180.0,,3.1,0.46179588705012975,-79.8095130685495
marsa matruh,1009.53,67,1009.8,1009.8,24.55,24.55,24.55,62.749,,5.27,32.18481938645306,27.85166379640657
jalu,1001.93,21,1008.86,1008.86,30.45,30.45,30.45,333.207,,2.48,23.4828064834075,22.224219117858695
maxixe,999.28,62,1010.62,1010.62,25.15,25.15,25.15,50.994,,5.9,-24.490880207920156,35.1446197596531
leshukonskoye,1004.57,92,1013.9,1013.9,0.85,0.85,0.85,56.415,,4.54,67.47381301332953,48.115751561148926
broken hill,,41,1018.0,,16.0,16.0,16.0,230.0,,8.2,-30.48938711628167,141.14795886158578
chokurdakh,1017.74,90,1019.13,1019.13,-10.66,-10.66,-10.66,100.699,,2.63,80.75940418416286,143.174495871577
chiredzi,959.66,12,1008.19,1008.19,34.65,34.65,34.65,129.197,,3.46,-21.577562913892393,31.89751756485174
katsuura,,65,1014.0,,23.96,25.0,23.33,190.0,,7.7,20.90529150095867,155.48057876051803
manadhoo,1011.33,72,1011.11,1011.11,28.05,28.05,28.05,260.766,,3.66,6.259300715745837,75.30090142879851
busselton,,44,1016.0,,13.3,15.0,11.67,99.397,,7.89,-52.220527177854045,80.93046089325355
lucapa,904.75,53,1005.41,1005.41,29.35,29.35,29.35,66.673,,2.05,-7.658000250447131,19.766897306576084
bredasdorp,,38,1012.0,,21.2,23.0,20.0,310.0,,7.7,-57.941761866550394,20.49613792392671
goure,,40,1006.0,,34.44,34.44,34.44,75.0,5.81,1.79,14.915252802966094,10.112007073257644
lompoc,,81,1016.0,,9.6,13.0,6.0,70.0,,2.1,23.98905937411878,-133.78650260097308
benxi,,26,1017.0,,14.0,14.0,14.0,350.0,14.0,7.0,40.94443037568743,123.55757468587171
kushiro,1007.93,88,1020.61,1020.61,11.35,11.35,11.35,124.822,,2.78,40.15253614389607,145.5288636488675
ribeira grande,,73,1023.0,,22.0,22.0,22.0,190.0,,3.1,31.83503119376475,-29.315164989937443
albany,,82,1020.0,,14.98,18.33,11.67,270.0,,4.6,-86.60240757092988,116.40917832950254
castro,,81,1022.0,,9.0,9.0,9.0,360.0,,3.1,-52.04295698813618,-103.43053896932534
tilichiki,982.37,86,995.19,995.19,-5.46,-5.46,-5.46,304.223,,3.04,58.25862530429623,168.4453585737201
atuona,1013.18,72,1013.05,1013.05,26.05,26.05,26.05,66.902,,4.87,-6.627733078953867,-117.26519461943141
tasiilaq,,58,997.0,,8.0,8.0,8.0,290.0,,1.0,69.83787975522122,-43.48854874087837
caravelas,1015.47,75,1016.67,1016.67,25.85,25.85,25.85,91.012,,4.98,-23.585637115685643,-26.720866831535346
lagoa,,64,1017.0,,23.93,24.44,23.0,200.0,,3.1,44.21612063220121,-30.090645604459866
lisala,963.53,64,1005.07,1005.07,27.85,27.85,27.85,261.218,,1.23,1.6159896704896255,21.95427867586639
vibo valentia,,93,1004.0,,18.71,20.56,17.0,90.0,,3.6,38.84121408721765,15.872639747802879
nikolsk,975.65,97,999.36,999.36,7.05,7.05,7.05,151.88,,2.93,59.14793376044946,45.299070838076005
ushuaia,,90,986.0,,0.55,1.0,0.0,230.0,,4.1,-66.18767541605081,-51.36684750677844
luganville,980.56,97,1010.63,1010.63,21.65,21.65,21.65,118.928,,1.01,-14.793255891852098,165.6824382317302
pevek,1012.45,73,1013.26,1013.26,-1.36,-1.36,-1.36,86.488,,5.09,87.63579162838676,173.99857962354093
yellowknife,,66,997.0,,0.0,0.0,0.0,360.0,13.4,8.2,69.37215040371706,-117.28514767563698
bambous virieux,,73,1021.0,,23.94,24.0,23.89,110.0,11.8,5.7,-37.33480936053189,80.40592970090233
mayo,,78,1016.0,,-8.0,-8.0,-8.0,,,1.5,65.02019117230424,-139.90015963721473
tessalit,955.23,7,1005.26,1005.26,40.45,40.45,40.45,18.158,,4.12,19.130543719390232,-0.3078815565300772
nikolskoye,,80,1011.0,,3.62,4.0,3.33,360.0,,2.0,46.01146578739943,169.77723446276025
farafangana,1010.19,80,1019.78,1019.78,20.75,20.75,20.75,73.978,,1.86,-24.194176332261122,51.66697528968987
moose factory,,76,1005.0,,10.0,10.0,10.0,240.0,11.3,7.2,52.15588654073915,-81.28727302326787
faanui,1013.65,85,1013.58,1013.58,24.95,24.95,24.95,131.039,,10.19,-9.719846662980785,-156.91422102011265
faya,,16,1023.0,,26.52,27.0,26.0,70.0,,7.2,23.119391221662482,20.243685010408626
saint george,,100,1009.0,,15.47,16.0,15.0,300.0,,3.1,31.917663361924568,-55.10943521828021
nioro,1004.19,40,1007.88,1007.88,34.75,34.75,34.75,286.309,,3.25,17.623164207065273,-8.621331259891406
ouadda,922.88,91,1006.97,1006.97,23.35,23.35,23.35,343.445,,2.52,8.142712109463218,22.27418401424299
los llanos de aridane,,61,1018.0,,23.61,25.0,22.22,40.0,,5.7,30.635683893531265,-24.51211045698483
moussoro,971.87,34,1005.07,1005.07,35.15,35.15,35.15,133.783,,3.16,14.845145959700403,17.039907419185255
lavrentiya,973.39,98,1013.4,1013.4,0.05,0.05,0.05,135.622,,6.84,71.05105742282652,-168.8081069406956
kapaa,,88,1012.0,,22.75,23.0,22.22,320.0,,4.6,34.91032558278398,-167.21161585616034
luena,856.72,35,1005.52,1005.52,28.05,28.05,28.05,81.27,,2.71,-12.749043852670297,19.383436889061386
husavik,,88,1016.0,,5.56,5.56,5.56,228.0,1.79,1.34,67.1748734044861,-17.15324990358846
hilo,,73,1012.0,,18.4,23.0,11.67,220.0,,2.1,13.357796439734656,-138.50931867071367
wajima,1012.8,94,1012.85,1012.85,18.35,18.35,18.35,119.291,,1.82,37.56235711085664,136.26920207936274
preston,,87,1007.0,,12.45,13.89,11.0,180.0,,5.1,42.303686489782905,-111.62488453548156
kavieng,1007.41,73,1007.94,1007.94,28.55,28.55,28.55,112.135,,2.36,9.622817653899773,151.68459218623013
hobart,,66,1008.0,,9.64,11.0,7.22,310.0,,3.6,-46.64853955649401,156.1763035123501
san cristobal,910.46,83,1012.39,1012.39,22.65,22.65,22.65,123.645,,0.7,-12.871239690292995,-90.98781542285063
provideniya,966.83,99,1005.44,1005.44,0.65,0.65,0.65,89.836,,4.18,46.17146189745361,-173.58031969145657
tiksi,1002.64,84,1014.66,1014.66,-4.26,-4.26,-4.26,94.434,,7.61,72.42868952117905,130.1432115029546
burnie,,90,1022.0,,8.06,8.89,7.22,227.0,1.34,0.89,-40.42449217469386,144.71803461905898
cabo san lucas,,69,1012.0,,25.12,27.78,23.0,339.184,,2.58,12.061992237706477,-120.5668931115631
pucallpa,,100,1015.0,,23.0,23.0,23.0,,,1.0,-9.573014731943104,-73.62496302399374
dickinson,,65,1017.0,,5.0,5.0,5.0,220.0,,2.1,47.33215696912728,-102.8143842500378
new norfolk,,66,1008.0,,9.64,11.0,7.22,310.0,,3.6,-89.59383455142114,123.84128396473722
nakhon phanom,993.41,76,1013.63,1013.63,23.95,23.95,23.95,144.259,,1.34,17.32252989943032,105.06497864419458
guerrero negro,1013.17,75,1013.36,1013.36,21.65,21.65,21.65,317.057,,3.84,23.034769519019562,-120.13106483597406
fuengirola,,78,1015.0,,26.76,28.89,24.0,110.0,,5.1,36.437682295175875,-4.6172272712371125
saint-philippe,,100,1019.0,,12.07,13.0,11.11,110.0,,1.5,-23.597130038331017,56.75610095399648
bluff,994.16,50,1014.39,1014.39,20.35,20.35,20.35,314.899,,2.0,-84.733941473585,165.76566150105532
nanortalik,997.02,76,1004.67,1004.67,5.05,5.05,5.05,113.491,,1.73,58.9099349610141,-44.50688858455217
chuy,1016.45,67,1018.01,1018.01,19.15,19.15,19.15,339.872,,4.7,-40.50099111851997,-45.25544928880771
seoul,,100,1017.0,,13.57,15.0,12.0,290.0,,1.5,36.44057120268964,129.00430412834697
dudinka,,90,1013.0,,0.0,0.0,0.0,270.0,,2.0,73.12312702083199,85.51549817360359
ponta do sol,906.88,46,1013.7,1013.7,28.55,28.55,28.55,38.35,,3.84,20.455975952797715,-42.359659270937215
ancud,,81,1022.0,,9.0,9.0,9.0,360.0,,3.1,-41.62924779534534,-94.43321658865372
hun,,81,1017.0,,12.81,14.44,12.0,220.0,,3.1,29.486377565134504,14.75523362056731
severo-kurilsk,1023.42,88,1023.49,1023.49,8.15,8.15,8.15,239.446,,7.45,33.11568945518688,163.74634870318778
hambantota,,100,1010.0,,23.0,23.0,23.0,30.0,,1.5,2.5834557125856463,82.72479560683757
khatanga,1016.56,93,1019.95,1019.95,-6.76,-6.76,-6.76,43.788,,4.31,68.13962253488467,102.05086884620971
cidreira,1017.58,64,1018.48,1018.48,21.95,21.95,21.95,55.377,,4.6,-44.855316156633265,-37.46623290059654
portland,,88,1018.0,,18.02,21.11,15.0,190.0,9.3,6.7,-53.74000191453391,133.0672763841942
asuncion,,57,1017.0,,25.0,25.0,25.0,130.0,,1.5,-24.79186997627366,-58.68401228407764
san patricio,1003.87,47,1017.01,1017.01,27.15,27.15,27.15,180.756,,1.29,2.655837301082812,-119.34382173145985
buala,998.86,83,1007.72,1007.72,26.35,26.35,26.35,139.085,,3.03,-0.9801638665599199,162.45777374836393
plettenberg bay,990.3,63,1013.84,1013.84,18.05,18.05,18.05,223.769,,2.34,-51.81720605656924,24.585792258227087
amga,972.99,74,1008.25,1008.25,-2.46,-2.46,-2.46,112.864,,0.74,61.65599701156867,131.5057153252531
hudiksvall,997.02,72,1015.4,1015.4,4.95,4.95,4.95,352.689,,0.92,62.041548773508765,16.571177265063824
dekar,878.32,7,1005.82,1005.82,34.75,34.75,34.75,98.336,,1.3,-21.87971342513262,22.10130591347729
saskylakh,1005.98,96,1016.19,1016.19,-9.06,-9.06,-9.06,343.067,,3.15,69.75903310399408,114.49855859225721
norman wells,,92,1010.0,,-1.0,-1.0,-1.0,280.0,12.3,7.7,82.96761114638704,-119.14950653607576
moyale,912.13,61,1009.15,1009.15,24.35,24.35,24.35,112.674,,3.34,3.702459504424482,38.82351124906651
yekimovichi,984.75,75,1012.65,1012.65,1.35,1.35,1.35,278.947,,2.65,53.882425901004126,33.1785317774243
vila velha,,66,1014.0,,29.52,30.0,29.0,110.0,,6.2,-26.749829154999418,-28.386368697981737
oussouye,,70,1010.0,,30.0,30.0,30.0,,,1.0,9.781783089845561,-20.316012731481464
beyneu,1013.01,25,1013.51,1013.51,21.75,21.75,21.75,115.895,,4.09,44.02529049311093,56.85181224673886
fortuna,,87,1017.0,,7.24,9.0,5.56,140.0,,3.6,39.84573517178555,-138.32919234313323
kamaishi,937.41,95,1016.76,1016.76,9.75,9.75,9.75,128.717,,1.26,35.291187058191085,150.1948215189742
sydney mines,,82,1023.0,,14.33,16.67,12.22,220.0,14.9,9.8,46.90874167819109,-60.39417274840227
san quintin,997.89,88,1012.81,1012.81,22.85,22.85,22.85,71.129,,2.2,22.867808897396287,-124.18961562601021
dabakala,971.61,75,1008.15,1008.15,27.85,27.85,27.85,257.586,,2.27,8.784752121859867,-4.501190384320353
salalah,,78,1011.0,,28.0,28.0,28.0,190.0,,4.1,20.566735798112802,53.628400947218125
raudeberg,,45,1013.0,,7.39,9.0,5.0,170.0,,8.2,65.08413941462703,3.311555121553397
airai,977.45,83,1012.62,1012.62,20.85,20.85,20.85,126.266,,1.84,14.520029510611849,134.9679117049377
hede,,65,1015.0,,7.75,9.0,6.67,,,0.5,34.71820946857639,121.88211413772996
samarai,996.48,92,1011.33,1011.33,22.25,22.25,22.25,155.605,,2.62,-11.973981201684936,150.00273289731217
jalpaiguri,,94,1011.0,,23.0,23.0,23.0,,,0.5,26.478259320945895,88.78939871623743
aksarka,1014.25,80,1020.92,1020.92,0.05,0.05,0.05,258.21,,2.88,65.15242217154741,67.7611224039295
nsanje,979.58,37,1008.63,1008.63,31.85,31.85,31.85,97.009,,4.82,-16.724534681950985,36.29165044821258
butaritari,1008.38,68,1008.36,1008.36,28.85,28.85,28.85,202.521,,1.61,5.933117919506955,179.35664395869816
taoudenni,986.56,6,1007.75,1007.75,39.65,39.65,39.65,306.374,,2.38,22.647735519798417,-2.1795091093921997
puerto ayora,,73,1014.0,,19.95,21.0,18.89,160.0,,8.2,-11.569354275013197,-109.82433633810734
inuvik,,92,1013.0,,-2.0,-2.0,-2.0,310.0,12.9,6.7,67.70285682032261,-132.65185675477468
oswego,,76,1026.0,,12.39,14.44,11.0,360.0,,1.5,43.83814836391582,-76.65423808478835
wajid,971.31,51,1008.75,1008.75,29.65,29.65,29.65,194.856,,4.75,3.9992583050596267,42.70430814248712
east london,,93,1012.0,,18.0,18.0,18.0,240.0,,8.7,-54.422485156593375,43.065355122955566
torbay,,71,1024.0,,12.75,14.44,11.11,250.0,13.4,7.7,36.144723630268956,-46.027077479990226
kurush,,27,1014.0,,25.0,25.0,25.0,320.0,,4.1,41.32154607267137,47.76569443863323
la ronge,,75,1001.0,,5.0,5.0,5.0,190.0,,3.1,62.565399392904965,-103.8539442274268
talaya,,47,1021.0,,12.54,14.0,11.67,322.889,,1.52,59.03526583751389,154.92430005904663
tari,979.1,35,1004.68,1004.68,35.55,35.55,35.55,34.906,,2.94,-5.58370619183539,142.31536182573228
erenhot,908.45,33,1029.22,1029.22,5.85,5.85,5.85,72.077,,1.66,43.69918916949263,109.41253498394053
liyang,,82,1023.0,,16.34,16.67,16.0,,,1.0,31.431536690545585,119.47848807780287
luba,997.89,88,1012.81,1012.81,22.85,22.85,22.85,71.129,,2.2,3.113300191565102,8.04569527062253
sao filipe,1011.97,85,1011.7,1011.7,26.15,26.15,26.15,38.427,,5.12,6.09247818200609,-28.868461537633692
wigston,,93,1010.0,,13.01,14.0,11.67,180.0,,4.6,52.453878658506255,-1.0241215180543861
meulaboh,1011.57,72,1012.28,1012.28,27.45,27.45,27.45,17.835,,1.9,1.3692133079747748,95.97316128298024
davila,1010.73,76,1013.15,1013.15,28.05,28.05,28.05,61.005,,9.93,19.97653438345823,118.16572780849935
chumikan,954.01,99,1008.88,1008.88,0.75,0.75,0.75,108.064,,0.93,56.92636228290738,134.257045742436
alofi,,73,1015.0,,22.0,22.0,22.0,100.0,,5.1,-29.009656010378713,-167.3799447472337
ishigaki,1016.45,77,1016.77,1016.77,26.45,26.45,26.45,47.362,,6.37,26.166511933616192,123.86538508733264
avarua,,64,1018.0,,20.0,20.0,20.0,130.0,,3.1,-29.567599094495208,-166.13280751925046
kaitangata,,48,1005.0,,12.78,12.78,12.78,315.0,4.47,2.68,-74.03646650458921,177.31176990121844
nizwa,906.3,57,1012.96,1012.96,24.75,24.75,24.75,185.167,,0.19,20.42748027135754,56.62548901282557
bombay,,93,1018.0,,12.1,13.33,11.0,180.0,,4.1,-37.244541642643405,175.074180165295
fare,1013.77,85,1013.94,1013.94,24.65,24.65,24.65,130.867,,9.76,-15.859291009908631,-150.11205049891066
tiznit,1013.85,77,1014.02,1014.02,21.35,21.35,21.35,251.336,,3.71,24.822387783975515,-9.02879839471774
mar del plata,970.05,30,1003.55,1003.55,11.95,11.95,11.95,268.103,,11.72,-51.67345054662134,-46.24580580732396
klaksvik,,100,988.0,,10.0,10.0,10.0,180.0,,9.8,63.653650119371974,-4.407381204937877
gualeguay,1013.81,53,1016.49,1016.49,23.05,23.05,23.05,308.644,,4.5,-33.1088052114135,-58.9269592398214
hualmay,1014.69,88,1015.46,1015.46,15.95,15.95,15.95,169.402,,5.89,-14.540113846153062,-82.7864143055883
kruisfontein,983.39,62,1014.12,1014.12,17.65,17.65,17.65,241.687,,8.2,-65.1963656665377,25.99038403235477
coihaique,,61,1012.0,,8.0,9.0,7.0,,8.7,3.6,-49.29115403904665,-74.44076925714589
herne bay,,76,1013.0,,14.59,15.56,13.33,200.0,,5.7,51.49614463750771,1.0936792414137528
xuanzhou,1019.81,79,1021.78,1021.78,15.65,15.65,15.65,329.946,,1.63,30.408406706437617,118.4190121801389
kununurra,,61,1011.0,,26.0,26.0,26.0,10.0,,3.6,-16.57220247143161,126.85492218727501
omboue,1008.16,84,1008.45,1008.45,25.85,25.85,25.85,192.002,,9.7,-7.112273475974021,1.674273436207585
grand gaube,,73,1021.0,,23.95,24.0,23.89,110.0,11.8,5.7,-19.79917167539635,57.99359639503626
northam,,32,1021.0,,20.0,20.0,20.0,50.0,,4.6,-30.32992410611532,119.65250228732896
yar-sale,1015.95,76,1019.19,1019.19,0.25,0.25,0.25,272.629,,4.62,71.18421075868591,73.60680535641754
shingu,941.98,97,1014.94,1014.94,16.05,16.05,16.05,103.185,,2.14,28.790402767192518,138.44970354862227
zhicheng,991.82,52,1023.11,1023.11,17.35,17.35,17.35,302.766,,1.69,30.857255653340204,119.64948855902702
gornyye klyuchi,1000.51,80,1008.75,1008.75,10.55,10.55,10.55,174.044,,5.62,45.36069119638711,133.5198074671166
ust-maya,981.89,95,1009.26,1009.26,-1.86,-1.86,-1.86,112.395,,3.12,59.760474574586766,134.56946778844264
novikovo,991.84,71,1015.58,1015.58,2.75,2.75,2.75,261.567,,2.65,47.462156819321024,145.3109362770029
